"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"5369","Owen, Charles D. High School",0,"",NA,3,3,4,4,4,4,1
"5370","Vance Charter School",2,"Other",NA,3,4,4,3,4,3,1
"5371","Vance Charter School",0,"",NA,3,3,1,3,4,1,1
"5375","Vance Charter School",2,"Handout,Lecture,PowerPoint,Video",NA,3,3,4,4,4,4,1
"5376","Vance Charter School",2,"Handout,Lecture",NA,3,4,4,4,4,4,1
"5377","Vance Charter School",0,"",NA,3,4,4,3,4,3,0
"5378","Vance Charter School",0,"",NA,3,3,2,3,4,3,0
"5379","Vance Charter School",2,"Other",NA,4,3,4,3,4,3,1
"5382","Vance Charter School",0,"",NA,1,1,3,3,4,2,1
"5383","Vance Charter School",4,"PowerPoint",NA,4,4,4,4,4,4,1
"5384","Vance Charter School",0,"",NA,1,1,4,4,4,4,1
"5386","Vance Charter School",1,"Other",NA,3,4,4,4,4,4,1
"5387","Triangle Math & Science Academy",0,"",NA,NA,2,4,3,4,3,1
"5388","Concord High School",1,"PowerPoint",NA,2,4,4,3,4,4,1
"5389","Vance Charter School",0,"",NA,2,4,4,4,4,3,1
"5390","Vance Charter School",0,"",NA,2,2,4,4,4,3,1
"5391","Owen, Charles D. High School",4,"Other",NA,3,4,4,4,4,4,1
"5392","Rocky Mount High School",0,"",NA,3,4,4,4,4,3,1
"5393","Owen, Charles D. High School",0,"",NA,3,3,4,4,4,3,0
"5394","South Caldwell High School",NA,"",NA,1,1,1,1,1,1,1
"5395","Hobbton High School",0,"",NA,3,3,4,4,4,3,1
"5397","Hobbton High School",2,"PowerPoint",NA,3,NA,4,3,4,3,1
"5398","Northwood High School",0,"",NA,4,4,4,4,4,4,1
"5400","Owen, Charles D. High School",2,"Lecture",NA,2,4,2,3,4,4,1
"5401","Carrboro High School",1,"Handout",NA,3,3,3,3,4,2,1
"5403","East Rowan High School",0,"",NA,3,4,4,3,4,4,1
"5406","Carrboro High School",0,"",NA,3,3,4,3,4,3,1
"5413","Falls Lake Academy",1,"Handout,PowerPoint",NA,1,3,4,3,4,4,1
"5414","Neuse Charter School",1,"Handout",NA,3,4,4,4,4,4,1
"5420","Western Harnett High School",0,"",NA,4,3,3,3,3,3,1
"5422","Concord High School",0,"",NA,3,4,4,4,4,4,1
"5424","Northwest Cabarrus High School",1,"Other",NA,3,4,3,4,4,4,0
"5427","East Davie High School",0,"",NA,4,4,4,4,4,4,1
"5428","Triangle Math & Science Academy",3,"Handout,PowerPoint",NA,3,3,3,3,4,2,1
"5429","Owen, Charles D. High School",0,"",NA,3,3,4,4,4,3,1
"5430","Owen, Charles D. High School",4,"Video",NA,4,4,4,4,4,3,1
"5432","Owen, Charles D. High School",4,"Lecture,PowerPoint,Video",NA,3,3,4,4,4,3,1
"5433","Northwood High School",0,"",NA,3,3,4,3,4,4,1
"5436","Western Harnett High School",0,"",NA,3,3,4,4,4,3,1
"5437","Western Harnett High School",1,"Video",NA,2,3,4,3,4,4,1
"5438","South Lenoir High School",0,"",NA,3,2,4,3,4,4,1
"5440","Western Harnett High School",0,"",NA,3,4,4,4,4,4,1
"5441","Western Harnett High School",0,"",NA,4,4,3,4,4,4,1
"5442","South Rowan High School",0,"",NA,1,3,4,4,4,4,1
"5443","South Lenoir High School",4,"Handout,Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"5444","Cuthbertson High School",0,"",NA,3,4,4,4,4,4,1
"5446","Ledford High School",3,"Video",NA,4,4,4,4,4,4,1
"5447","Western Harnett High School",1,"Video",NA,3,3,4,4,4,3,1
"5448","Western Harnett High School",0,"",NA,2,3,3,3,4,3,0
"5449","Carrboro High School",1,"Handout",NA,3,3,4,3,4,4,1
"5450","Northwood High School",0,"",NA,3,3,4,3,4,2,1
"5451","Northwest Cabarrus High School",0,"",NA,3,2,4,3,4,3,1
"5452","Holmes, John A. High School",0,"",NA,4,3,4,3,4,4,0
"5453","Holmes, John A. High School",0,"",NA,4,3,4,3,4,3,0
"5458","East Davie High School",0,"",NA,3,3,4,4,4,4,1
"5461","Western Harnett High School",1,"Other",NA,3,2,3,2,4,2,1
"5462","Trinity High School",0,"",NA,4,4,4,3,4,3,1
"5465","Morehead, John M. High School",1,"Handout",NA,3,4,4,4,4,4,1
"5468","Lincoln Charter",0,"",NA,3,4,4,4,4,4,1
"5477","East Davie High School",0,"",NA,2,3,4,4,4,3,0
"5478","Northwest Cabarrus High School",2,"Other",NA,3,4,4,4,4,4,1
"5483","Ardrey Kell High School",0,"",NA,3,4,4,4,4,4,1
"5484","Ardrey Kell High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,2,3,3,3,3,1
"5485","Ardrey Kell High School",NA,"Handout",NA,3,4,4,4,4,4,1
"5486","Ardrey Kell High School",0,"",NA,3,3,4,4,4,4,1
"5490","Atkins High School",3,"Handout,Lecture,PowerPoint",NA,1,4,4,4,4,4,1
"5491","Ardrey Kell High School",1,"Lecture",NA,3,2,4,3,4,3,1
"5493","Ardrey Kell High School",1,"PowerPoint",NA,2,3,4,2,3,3,1
"5494","Ardrey Kell High School",0,"",NA,4,3,4,4,4,4,1
"5495","East Davidson High School",0,"",NA,3,3,4,4,4,4,1
"5496","Western Harnett High School",0,"",NA,3,4,4,3,4,3,1
"5497","Ardrey Kell High School",0,"",NA,3,3,2,3,4,2,1
"5500","Ardrey Kell High School",0,"",NA,NA,NA,NA,NA,NA,NA,1
"5501","Ardrey Kell High School",0,"",NA,NA,3,3,2,4,3,1
"5502","Ardrey Kell High School",0,"",NA,3,4,4,3,4,3,1
"5503","Clinton High School",0,"",NA,1,3,4,4,4,4,1
"5504","Ardrey Kell High School",1,"PowerPoint",NA,3,3,3,3,4,3,1
"5505","Ardrey Kell High School",2,"Lecture",NA,2,3,3,3,3,3,0
"5506","Ardrey Kell High School",0,"",NA,1,NA,4,3,4,4,1
"5507","Ardrey Kell High School",0,"",NA,2,3,4,4,4,3,1
"5508","Ardrey Kell High School",1,"Handout",NA,3,3,4,3,4,3,1
"5509","Ardrey Kell High School",0,"",NA,NA,3,4,3,4,4,1
"5512","Ardrey Kell High School",1,"Video",NA,3,4,4,4,4,3,1
"5515","Ardrey Kell High School",0,"",NA,1,3,4,4,4,4,1
"5516","Ardrey Kell High School",1,"PowerPoint",NA,3,1,3,4,4,3,1
"5518","Ardrey Kell High School",0,"",NA,1,2,4,3,4,4,0
"5519","Ardrey Kell High School",1,"PowerPoint",NA,2,3,4,2,4,3,1
"5520","Ardrey Kell High School",3,"Lecture,PowerPoint,Video",NA,2,3,3,2,3,3,0
"5523","Ardrey Kell High School",0,"",NA,3,4,4,4,4,4,1
"5526","Tarboro High School",0,"",NA,4,1,4,4,4,4,1
"5529","Hobbton High School",0,"",NA,3,3,4,4,4,4,1
"5531","Ardrey Kell High School",0,"",NA,3,3,3,3,3,3,1
"5532","Western Harnett High School",2,"Video",NA,3,4,4,3,4,3,0
"5534","Tarboro High School",0,"",NA,4,3,4,4,4,4,1
"5535","Garinger High School",1,"Video",NA,4,3,4,4,4,3,1
"5537","Ardrey Kell High School",0,"",NA,1,1,4,3,4,4,1
"5538","Ardrey Kell High School",0,"",NA,1,3,4,3,4,4,1
"5539","Garinger High School",2,"Handout,PowerPoint,Video",NA,3,3,4,3,4,2,1
"5540","Cuthbertson High School",1,"Lecture",NA,3,3,4,4,4,4,1
"5541","South Johnston High School",1,"PowerPoint,Video",NA,3,3,4,4,4,4,1
"5545","Falls Lake Academy",2,"Handout",NA,4,4,4,4,4,4,1
"5548","Charlotte Catholic High School",0,"",NA,3,3,2,3,3,4,1
"5550","Garinger High School",3,"Video",NA,4,4,4,4,4,3,1
"5552","South Rowan High School",0,"",NA,3,3,4,3,3,4,1
"5553","South Lenoir High School",1,"Handout",NA,3,3,4,4,4,4,1
"5555","Holmes, John A. High School",0,"",NA,4,4,4,3,3,4,1
"5557","Western Harnett High School",0,"",NA,3,3,4,4,4,3,1
"5558","East Wake Academy",0,"",NA,3,3,4,3,4,4,1
"5559","Garinger High School",0,"",NA,1,4,4,4,4,2,1
"5560","East Davidson High School",1,"Handout",NA,2,3,4,3,4,4,1
"5563","South Caldwell High School",2,"Other",NA,4,4,4,4,4,4,1
"5564","South Rowan High School",0,"",NA,1,3,3,3,4,3,1
"5566","South Rowan High School",4,"Video,Other",NA,4,4,4,4,4,4,1
"5567","South Rowan High School",0,"",NA,2,3,3,3,4,3,1
"5575","South Rowan High School",1,"Video",NA,1,4,4,3,4,2,0
"5577","South Rowan High School",4,"PowerPoint",NA,1,4,4,4,4,4,1
"5578","Albemarle High School",0,"",NA,3,4,4,3,4,4,1
"5579","South Rowan High School",0,"",NA,4,3,4,3,4,3,1
"5582","South Rowan High School",0,"",NA,1,3,4,4,4,4,1
"5583","East Wake Academy",0,"",NA,2,3,3,4,4,4,1
"5584","Central Academy of Technology & Arts High School",0,"",NA,3,2,4,3,4,3,1
"5585","Carrboro High School",0,"",NA,4,2,4,4,4,4,1
"5587","East Wake Academy",0,"",NA,2,3,4,4,4,3,1
"5588","South Rowan High School",0,"",NA,3,2,3,2,3,3,1
"5590","Trinity High School",2,"Video",NA,3,3,4,3,4,3,1
"5594","Salisbury High School",0,"",NA,4,4,4,4,4,4,1
"5595","Hillside High School",1,"Video",NA,4,4,4,4,4,4,1
"5596","South Caldwell High School",2,"PowerPoint",NA,2,4,4,4,4,3,1
"5598","Salisbury High School",0,"",NA,3,3,4,3,4,3,1
"5600","Northwest",3,"Handout",NA,1,3,4,4,4,3,1
"5603","Freedom High School",2,"Other",NA,3,3,4,4,4,4,1
"5609","Northern Guilford High School",0,"",NA,3,3,4,3,4,4,1
"5610","Farmville Central High School",0,"",NA,1,3,4,3,4,4,1
"5611","Owen, Charles D. High School",0,"",NA,4,NA,4,NA,4,NA,1
"5612","Farmville Central High School",0,"",NA,1,3,3,3,4,3,1
"5613","Morehead, John M. High School",2,"Handout",NA,3,3,4,3,4,3,1
"5615","Owen, Charles D. High School",2,"Video",NA,1,4,4,4,4,4,1
"5617","Owen, Charles D. High School",1,"Video",NA,3,4,4,3,4,4,1
"5618","East Wake Academy",0,"",NA,3,3,4,4,4,4,1
"5619","Northern Guilford High School",0,"",NA,2,3,4,3,4,4,0
"5623","Owen, Charles D. High School",NA,"Video",NA,3,4,4,4,4,3,0
"5624","Owen, Charles D. High School",4,"Lecture,PowerPoint,Video",NA,3,3,4,4,4,4,1
"5625","Owen, Charles D. High School",0,"",NA,NA,3,4,3,4,3,1
"5626","Owen, Charles D. High School",2,"Video,Other",NA,2,3,4,4,4,3,1
"5627","Owen, Charles D. High School",1,"Handout",NA,4,3,4,4,4,3,1
"5628","Owen, Charles D. High School",2,"Video",NA,4,3,4,4,4,4,1
"5629","Nesbitt Discovery Academy",1,"Video",NA,3,3,4,4,4,4,1
"5631","Owen, Charles D. High School",1,"PowerPoint,Video",NA,3,4,4,3,4,3,1
"5632","Owen, Charles D. High School",NA,"Video",NA,2,3,4,3,4,4,1
"5633","Owen, Charles D. High School",NA,"Video",NA,2,3,4,4,4,4,1
"5635","Carver Middle School",0,"",NA,3,3,4,4,4,3,1
"5636","South Caldwell High School",NA,"",NA,NA,NA,NA,NA,NA,NA,1
"5638","Owen, Charles D. High School",4,"Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,0
"5641","Central Academy of Technology & Arts High School",0,"",NA,3,3,4,4,4,3,1
"5642","Owen, Charles D. High School",4,"Lecture",NA,2,4,3,4,4,4,1
"5648","South Rowan High School",0,"",NA,2,3,4,4,4,4,1
"5650","Owen, Charles D. High School",2,"Video",NA,2,1,3,2,4,2,0
"5651","Central Academy of Technology & Arts High School",4,"Lecture,PowerPoint,Video",NA,4,4,4,3,4,3,1
"5654","Louisburg High School",0,"",NA,NA,3,4,3,4,3,1
"5655","Seaforth High School",2,"Lecture,PowerPoint,Other",NA,2,2,4,4,4,3,1
"5656","Carrboro High School",0,"",NA,NA,4,4,4,4,4,1
"5657","Owen, Charles D. High School",2,"PowerPoint",NA,4,3,4,3,4,3,1
"5658","Forbush High School",0,"",NA,NA,3,4,3,4,3,1
"5659","North Duplin High School",0,"",NA,4,3,3,3,3,3,0
"5660","Northern Guilford High School",0,"",NA,2,3,4,4,4,3,1
"5663","Hickory High School",0,"",NA,2,3,4,3,4,3,1
"5664","Northwood High School",1,"Lecture",NA,3,3,4,3,4,4,1
"5668","Northern Guilford High School",0,"",NA,3,3,4,4,4,3,1
"5674","South Lenoir High School",3,"Handout,Lecture,PowerPoint",NA,4,4,4,4,4,4,1
"5678","Southern Nash High School",0,"",NA,2,4,4,4,4,3,1
"5679","Meyers Park High School",2,"Video",NA,2,3,3,3,4,3,1
"5682","Southern Nash High School",0,"",NA,3,3,3,3,4,2,1
"5683","Central Academy of Technology & Arts High School",0,"",NA,3,4,4,3,4,2,1
"5685","Southern Nash High School",0,"",NA,4,3,4,3,4,3,1
"5686","Southern Nash High School",2,"PowerPoint",NA,3,4,4,4,4,3,1
"5687","Tarboro High School",0,"",NA,4,4,4,4,4,4,1
"5688","Owen, Charles D. High School",0,"",NA,3,4,4,4,4,3,1
"5689","Meyers Park High School",0,"",NA,3,3,3,3,4,3,1
"5690","Owen, Charles D. High School",NA,"Video",NA,2,3,3,3,4,2,1
"5695","Meyers Park High School",0,"",NA,4,4,4,4,4,4,1
"5696","Ledford High School",NA,"Video",NA,3,2,3,3,3,2,1
"5697","Rocky Mount High School",0,"",NA,4,4,4,4,4,4,1
"5698","Meyers Park High School",0,"",NA,3,3,4,3,4,4,0
"5700","Meyers Park High School",2,"PowerPoint,Video",NA,3,4,4,3,4,2,1
"5701","Meyers Park High School",1,"Video",NA,3,3,4,3,4,4,1
"5703","Meyers Park High School",2,"PowerPoint",NA,3,4,4,3,4,4,1
"5708","Meyers Park High School",0,"",NA,3,3,4,3,4,3,1
"5723","Northwest Cabarrus High School",0,"",NA,3,3,4,3,4,3,0
"5726","North Edgecomb High School",1,"Lecture",NA,3,3,3,3,3,3,1
"5733","East Wake Academy",0,"",NA,3,3,3,3,3,3,0
"5737","Meyers Park High School",0,"",NA,3,3,4,3,4,3,1
"5741","North Edgecomb High School",0,"",NA,3,2,4,3,4,4,1
"5746","East Davie High School",4,"Handout,Lecture,Video",NA,3,4,4,4,4,3,1
"5747","West Forsyth High School",0,"",NA,3,1,4,4,4,4,1
"5751","Meyers Park High School",3,"PowerPoint,Video",NA,3,3,4,3,4,4,1
"5752","Carrboro High School",0,"",NA,2,4,4,4,4,4,1
"5756","Northern Guilford High School",0,"",NA,3,3,4,4,4,4,1
"5760","West Forsyth High School",0,"",NA,4,3,4,4,4,3,1
"5765","Ardrey Kell High School",1,"Handout",NA,3,4,4,4,4,3,1
"5777","Charlotte Catholic High School",0,"",NA,1,4,4,4,4,4,0
"5788","East Wake Academy",0,"",NA,3,3,4,3,4,4,1
"5790","Ardrey Kell High School",NA,"",NA,3,4,4,3,4,4,1
"5803","Ardrey Kell High School",0,"",NA,3,3,3,3,3,3,1
"5804","Ardrey Kell High School",0,"",NA,3,3,3,3,4,4,1
"5805","Southern Nash High School",0,"",NA,4,3,4,4,4,4,1
"5806","Ardrey Kell High School",0,"",NA,3,3,4,3,4,3,1
"5810","Forbush High School",0,"",NA,4,3,4,4,4,4,1
"5811","Ardrey Kell High School",0,"",NA,3,3,3,3,4,3,1
"5812","Ardrey Kell High School",2,"Handout,PowerPoint,Video",NA,1,4,3,2,3,4,1
"5819","Ardrey Kell High School",0,"",NA,2,2,4,3,4,3,1
"5823","Ardrey Kell High School",0,"",NA,3,3,3,3,4,3,1
"5835","Ardrey Kell High School",1,"PowerPoint",NA,4,4,4,4,4,3,1
"5840","Ardrey Kell High School",0,"",NA,3,3,3,3,4,3,1
"5844","Ardrey Kell High School",0,"",NA,4,NA,4,4,4,4,1
"5846","Ardrey Kell High School",1,"PowerPoint",NA,3,3,4,4,4,4,1
"5848","Ardrey Kell High School",0,"",NA,4,3,4,4,4,3,1
"5851","Ardrey Kell High School",0,"",NA,4,4,NA,4,4,4,1
"5854","Ardrey Kell High School",0,"",NA,4,4,4,4,4,4,1
"5856","Ardrey Kell High School",0,"",NA,3,3,3,3,4,3,1
"5857","Ardrey Kell High School",0,"",NA,4,4,4,NA,4,4,1
"5859","Ardrey Kell High School",0,"",NA,4,3,4,3,4,3,1
"5860","Ardrey Kell High School",0,"",NA,3,3,4,4,4,3,1
"5861","Meyers Park High School",0,"",NA,3,4,4,4,4,4,1
"5863","Ardrey Kell High School",1,"Lecture",NA,1,4,4,3,4,4,1
"5865","Ardrey Kell High School",0,"",NA,3,3,4,4,4,3,1
"5868","Ardrey Kell High School",0,"",NA,1,4,4,4,4,3,1
"5869","Ardrey Kell High School",0,"",NA,3,1,4,3,4,4,1
"5871","Ardrey Kell High School",1,"Lecture",NA,3,3,4,3,4,4,1
"5874","Ardrey Kell High School",0,"",NA,1,3,4,4,4,3,1
"5876","Ardrey Kell High School",2,"Handout,Lecture,PowerPoint,Video",NA,3,3,4,4,4,3,1
"5878","Carrboro High School",NA,"Handout,Lecture,PowerPoint,Video",NA,3,4,4,4,4,3,1
"5879","Ardrey Kell High School",1,"Video",NA,3,3,3,3,4,2,1
"5880","Ardrey Kell High School",0,"",NA,1,3,3,3,3,3,1
"5882","Ardrey Kell High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,2,3,3,4,4,1
"5883","Ardrey Kell High School",1,"PowerPoint",NA,2,3,4,4,4,4,1
"5884","Ardrey Kell High School",0,"",NA,3,3,4,3,4,3,1
"5885","Ardrey Kell High School",0,"",NA,2,3,3,3,4,2,1
"5886","Ardrey Kell High School",0,"",NA,2,3,4,4,4,3,1
"5889","Ardrey Kell High School",0,"",NA,3,4,4,4,4,3,1
"5890","Ardrey Kell High School",0,"",NA,2,1,4,4,4,1,1
"5893","Ardrey Kell High School",0,"",NA,3,4,4,4,4,3,1
"5894","Ardrey Kell High School",0,"",NA,3,2,3,3,4,3,1
"5895","Ardrey Kell High School",1,"Lecture",NA,3,3,4,4,4,4,1
"5896","Carrboro High School",0,"",NA,3,4,4,3,4,4,1
"5897","Ardrey Kell High School",1,"PowerPoint",NA,3,4,3,3,4,3,1
"5899","Ardrey Kell High School",1,"Handout,Lecture",NA,1,3,4,3,4,3,1
"5901","Ardrey Kell High School",1,"Handout",NA,3,4,4,4,4,4,0
"5902","Ardrey Kell High School",0,"",NA,3,4,4,4,4,4,1
"5903","Ardrey Kell High School",0,"",NA,3,3,4,3,4,3,1
"5904","Ardrey Kell High School",1,"PowerPoint",NA,3,3,4,4,4,3,1
"5909","Ardrey Kell High School",1,"PowerPoint",NA,3,3,4,4,4,3,1
"5910","Ardrey Kell High School",0,"",NA,NA,3,4,3,3,4,1
"5914","Ardrey Kell High School",0,"",NA,3,3,3,3,3,3,1
"5915","Ardrey Kell High School",0,"",NA,3,3,4,3,4,2,1
"5916","Ardrey Kell High School",0,"",NA,3,3,4,4,4,4,1
"5917","Trinity High School",1,"Video",NA,4,4,4,4,4,3,1
"5918","Ardrey Kell High School",0,"",NA,4,4,4,4,4,4,1
"5920","Ardrey Kell High School",4,"Handout,Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"5921","Ardrey Kell High School",0,"",NA,3,3,4,4,4,4,1
"5922","Ardrey Kell High School",0,"",NA,3,2,4,3,4,4,1
"5924","East Davie High School",3,"PowerPoint",NA,2,3,3,2,2,3,1
"5928","Ardrey Kell High School",0,"",NA,4,4,4,4,4,3,1
"5929","Ardrey Kell High School",0,"",NA,3,3,3,4,4,4,1
"5932","Ardrey Kell High School",1,"Lecture",NA,2,2,2,3,4,4,1
"5934","Ardrey Kell High School",2,"Lecture",NA,3,3,2,2,4,2,1
"5936","Ardrey Kell High School",0,"",NA,4,3,4,4,4,4,1
"5937","Ardrey Kell High School",0,"",NA,3,4,4,4,4,4,1
"5939","Ardrey Kell High School",0,"",NA,3,1,4,3,4,2,1
"5940","Ardrey Kell High School",2,"PowerPoint,Video",NA,3,4,4,4,4,4,1
"5941","Ardrey Kell High School",4,"Handout,Lecture,PowerPoint",NA,2,3,4,4,4,4,1
"5942","Ardrey Kell High School",0,"",NA,4,2,4,4,4,4,1
"5945","Ardrey Kell High School",0,"",NA,2,3,3,2,4,3,1
"5947","Ardrey Kell High School",2,"PowerPoint",NA,4,4,4,4,4,4,1
"5949","Ardrey Kell High School",1,"Lecture,Video",NA,3,3,3,3,4,3,1
"5951","Ardrey Kell High School",0,"",NA,4,3,4,4,4,3,1
"5952","Ardrey Kell High School",0,"",NA,3,3,4,4,4,3,1
"5953","Ardrey Kell High School",0,"",NA,3,3,4,3,3,3,1
"5954","Ardrey Kell High School",0,"",NA,3,2,4,4,4,3,1
"5955","Ardrey Kell High School",0,"",NA,3,2,4,3,4,2,1
"5956","Ardrey Kell High School",1,"Video",NA,3,3,4,4,4,3,1
"5957","Ardrey Kell High School",0,"",NA,3,4,4,4,4,4,1
"5958","Ardrey Kell High School",0,"",NA,2,3,4,4,4,4,1
"5960","Ardrey Kell High School",0,"",NA,3,3,3,3,3,3,1
"5963","Ardrey Kell High School",0,"",NA,2,3,4,4,4,4,1
"5964","Ardrey Kell High School",1,"Handout",NA,3,2,4,3,4,4,1
"5965","South Rowan High School",1,"Other",NA,3,3,4,3,4,4,1
"5966","Ardrey Kell High School",0,"",NA,3,2,4,4,4,4,1
"5967","Ardrey Kell High School",0,"",NA,3,3,4,3,4,3,1
"5968","Ardrey Kell High School",3,"Lecture",NA,3,1,4,4,4,4,1
"5969","Ardrey Kell High School",0,"",NA,4,4,4,3,4,3,1
"5971","Ardrey Kell High School",0,"",NA,4,3,4,4,4,3,1
"5974","Atkins High School",0,"",NA,4,3,4,4,4,4,0
"5977","Ardrey Kell High School",4,"Lecture,PowerPoint,Video",NA,2,4,4,4,4,4,1
"5978","Ardrey Kell High School",2,"Lecture",NA,3,3,4,3,4,3,1
"5979","Rocky Mount High School",4,"PowerPoint,Video",NA,3,3,4,3,4,2,1
"5980","Ardrey Kell High School",0,"",NA,2,2,4,4,4,3,1
"5981","Garinger High School",0,"",NA,4,4,4,4,4,4,1
"5982","Garinger High School",0,"",NA,4,3,4,4,4,4,1
"5986","Central Academy of Technology & Arts High School",1,"Video",NA,2,4,4,4,4,4,1
"5988","East Davidson High School",1,"Handout",NA,3,4,4,3,4,3,1
"5996","Garinger High School",0,"",NA,2,3,4,4,4,4,1
"5997","Garinger High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,4,4,3,4,4,1
"6003","Ardrey Kell High School",0,"",NA,1,3,4,3,4,2,1
"6004","South Caldwell High School",2,"Other",NA,4,4,4,4,4,4,0
"6007","Ardrey Kell High School",0,"",NA,3,2,4,4,4,4,1
"6008","East Wake Academy",0,"",NA,2,3,4,4,4,4,1
"6009","East Wake Academy",1,"PowerPoint",NA,3,4,4,3,4,4,1
"6014","East Wake Academy",1,"Other",NA,3,3,3,3,4,3,1
"6017","East Wake Academy",0,"",NA,NA,4,4,4,4,3,1
"6019","Central Academy of Technology & Arts High School",1,"Other",NA,4,4,4,4,4,3,1
"6020","Northwood High School",2,"Lecture",NA,3,3,3,2,4,2,1
"6021","Ardrey Kell High School",0,"",NA,3,4,4,3,4,3,1
"6023","Falls Lake Academy",0,"",NA,4,3,4,3,4,3,1
"6028","Rocky Mount High School",1,"Handout,Video",NA,3,4,4,4,4,4,1
"6029","South Caldwell High School",0,"",NA,2,3,4,3,4,4,0
"6032","South Caldwell High School",1,"Video",NA,3,3,4,3,4,3,1
"6033","Tarboro High School",0,"",NA,4,3,4,4,4,4,1
"6038","East Wake Academy",0,"",NA,3,3,4,3,4,4,1
"6039","Triangle Math & Science Academy",0,"",NA,2,4,4,4,4,4,1
"6040","Northern Guilford High School",1,"Handout,Lecture",NA,4,4,4,4,4,4,1
"6045","South Rowan High School",0,"",NA,4,4,4,4,4,4,0
"6050","Tarboro High School",0,"",NA,3,3,4,4,4,2,1
"6051","Triangle Math & Science Academy",1,"Video",NA,3,4,4,4,4,4,1
"6054","Lake Norman Charter",2,"Video",NA,4,2,4,4,4,3,1
"6056","Jordan - Matthews High School",2,"PowerPoint",NA,3,3,4,2,4,4,1
"6057","Jordan - Matthews High School",2,"PowerPoint",NA,3,2,3,3,3,2,1
"6058","Ardrey Kell High School",0,"",NA,4,3,4,3,4,3,1
"6059","Hickory High School",0,"",NA,1,3,4,4,4,NA,1
"6062","Southwest",0,"",NA,2,2,4,4,4,4,1
"6064","Salisbury High School",0,"",NA,3,3,4,3,4,3,1
"6065","Northwest Cabarrus High School",0,"",NA,3,4,4,4,4,3,1
"6067","Northwest Cabarrus High School",2,"Video",NA,3,3,3,3,4,3,0
"6068","East Davie High School",1,"PowerPoint",NA,1,4,4,3,2,3,1
"6071","South Caldwell High School",0,"",NA,3,3,4,4,4,4,1
"6074","Morehead, John M. High School",4,"Handout",NA,3,4,4,4,4,4,1
"6079","Carrboro High School",2,"Handout,PowerPoint",NA,2,4,4,4,4,4,1
"6080","Hickory High School",0,"",NA,3,3,4,3,4,3,1
"6083","Tarboro High School",0,"",NA,4,4,4,4,4,4,1
"6084","Hickory High School",1,"Video",NA,3,3,4,3,4,4,1
"6086","South Caldwell High School",NA,"",NA,NA,NA,NA,NA,NA,NA,1
"6089","Ardrey Kell High School",1,"Handout,Other",NA,3,4,4,4,4,4,1
"6090","South Rowan High School",3,"PowerPoint",NA,3,3,4,3,4,3,1
"6101","Meyers Park High School",0,"",NA,3,3,4,4,4,4,1
"6105","Meyers Park High School",0,"",NA,3,4,4,4,4,4,1
"6116","Meyers Park High School",0,"",NA,3,4,4,3,4,4,1
"6118","Meyers Park High School",0,"",NA,2,3,4,4,4,3,1
"6120","Meyers Park High School",0,"",NA,2,3,3,3,4,3,1
"6121","Meyers Park High School",0,"",NA,3,3,4,4,4,4,1
"6122","Hickory High School",0,"",NA,3,4,4,4,4,3,1
"6123","Meyers Park High School",0,"",NA,3,4,4,4,4,4,1
"6127","Seaforth High School",0,"",NA,1,4,4,4,4,4,1
"6130","Meyers Park High School",4,"Video",NA,1,4,4,4,4,4,1
"6131","Meyers Park High School",2,"Video",NA,2,4,4,3,4,4,1
"6134","Meyers Park High School",2,"Lecture,PowerPoint",NA,3,2,4,4,4,4,1
"6136","Meyers Park High School",NA,"PowerPoint,Video",NA,2,3,3,3,4,2,1
"6140","Seaforth High School",1,"Video",NA,2,3,4,4,4,3,1
"6141","Meyers Park High School",4,"Lecture,PowerPoint,Video",NA,3,2,4,4,4,4,1
"6145","Meyers Park High School",0,"",NA,3,4,4,3,4,4,1
"6146","Meyers Park High School",4,"Handout",NA,3,3,4,3,4,3,1
"6150","Meyers Park High School",0,"",NA,1,2,4,4,4,4,1
"6173","Meyers Park High School",0,"",NA,3,3,4,4,4,4,1
"6176","East Wake Academy",0,"",NA,3,4,4,4,4,3,1
"6178","Northern Guilford High School",0,"",NA,4,3,4,4,4,4,1
"6180","Meyers Park High School",0,"",NA,3,4,4,4,4,4,1
"6182","Meyers Park High School",1,"PowerPoint",NA,2,3,3,3,4,4,1
"6186","Forbush High School",4,"Handout,PowerPoint,Video",NA,3,4,4,4,4,4,1
"6188","Meyers Park High School",0,"",NA,3,3,4,4,4,4,1
"6190","Meyers Park High School",0,"",NA,3,3,4,4,4,4,1
"6193","Triangle Math & Science Academy",1,"Other",NA,2,4,4,4,4,3,1
"6197","Central Academy of Technology & Arts High School",4,"Other",NA,2,3,4,4,4,3,1
"6198","Millbrook High School",0,"",NA,3,3,4,4,4,4,1
"6199","Meyers Park High School",0,"",NA,3,4,4,3,4,4,1
"6202","Falls Lake Academy",0,"",NA,3,3,4,2,4,2,1
