"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"276","East Yancey High School",1,"Video",NA,3,3,3,3,4,3,1
"278","Davie High School",0,"",NA,4,4,4,4,4,4,1
"284","Davie High School",1,"Handout",NA,3,4,4,4,4,3,1
"285","Davie High School",0,"",NA,2,3,4,4,4,4,1
"294","Davie High School",1,"Handout",NA,2,3,3,3,4,2,0
"295","Davie High School",2,"Other",NA,2,3,4,3,4,4,1
"296","Washington County School",0,"",NA,1,4,4,4,4,4,1
"297","Washington County School",0,"",NA,NA,4,4,4,4,4,1
"301","Davie High School",0,"",NA,2,3,4,3,4,3,0
"302","Washington County School",0,"",NA,3,4,4,4,4,4,1
"305","Davie High School",0,"",NA,1,3,4,4,4,4,0
"306","Davie High School",0,"",NA,1,1,4,4,4,4,0
"307","Davie High School",0,"",NA,4,4,4,4,4,4,1
"308","North Davidson High School",0,"",NA,4,4,4,4,4,4,0
"310","Davie High School",1,"Other",NA,4,4,4,4,4,4,1
"312","Davie High School",0,"",NA,4,3,3,4,4,2,1
"314","Davie High School",0,"",NA,3,3,4,4,4,3,1
"315","Davie High School",0,"",NA,3,3,4,3,4,3,0
"316","Davie High School",0,"",NA,4,2,4,3,4,4,0
"320","North Davidson High School",2,"Other",NA,3,4,4,3,4,3,1
"322","Davie High School",0,"",NA,1,3,4,3,4,4,0
"323","North Davidson High School",0,"",NA,4,4,4,4,4,3,1
"327","Davie High School",1,"Handout,Lecture,Video",NA,2,3,3,3,3,3,0
"348","East Yancey High School",0,"",NA,3,4,4,3,4,3,1
"356","Apex Friendship High School",1,"Lecture",NA,3,4,4,4,4,4,1
"357","Apex Friendship High School",1,"Lecture,PowerPoint",NA,2,3,4,4,4,4,1
"370","Clinton High School",0,"",NA,3,3,4,4,4,2,0
"387","East Yancey High School",0,"",NA,4,4,4,3,4,4,1
"401","Spring Creek High School",3,"Video",NA,3,3,3,4,4,3,1
"402","Pamlico County High School",0,"",NA,3,4,4,4,4,4,1
"418","Spring Creek High School",1,"Handout,Video",NA,4,4,4,4,4,4,1
